cpu-bind=MASK - cn-0071, task  0  0 [2884235]: mask |BBBBBBBBBBBBBBBBBBBB||||BBBBBBBBBBBBBBBBBBBB|  set
cpu-bind=MASK - cn-0159, task 49  9 [2573810]: mask |---------B----------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 91 11 [258182]: mask |-----------B--------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 50 10 [2573811]: mask |----------B---------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 92 12 [258183]: mask |------------B-------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 51 11 [2573812]: mask |-----------B--------||||--------------------|  set
cpu-bind=MASK - cn-0162, task 93 13 [258184]: mask |-------------B------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 52 12 [2573813]: mask |------------B-------||||--------------------|  set
cpu-bind=MASK - cn-0159, task 53 13 [2573814]: mask |-------------B------||||--------------------|  set
cpu-bind=MASK - cn-0164, task 134 14 [53152]: mask |--------------B-----||||--------------------|  set
cpu-bind=MASK - cn-0164, task 135 15 [53153]: mask |---------------B----||||--------------------|  set
cpu-bind=MASK - cn-0164, task 136 16 [53154]: mask |----------------B---||||--------------------|  set
cpu-bind=MASK - cn-0164, task 137 17 [53155]: mask |-----------------B--||||--------------------|  set
cpu-bind=MASK - cn-0164, task 138 18 [53156]: mask |------------------B-||||--------------------|  set
cpu-bind=MASK - cn-0164, task 139 19 [53157]: mask |-------------------B||||--------------------|  set
cpu-bind=MASK - cn-0164, task 140 20 [53158]: mask |--------------------||||B-------------------|  set
cpu-bind=MASK - cn-0164, task 141 21 [53159]: mask |--------------------||||-B------------------|  set
cpu-bind=MASK - cn-0164, task 142 22 [53160]: mask |--------------------||||--B-----------------|  set
cpu-bind=MASK - cn-0164, task 143 23 [53161]: mask |--------------------||||---B----------------|  set
cpu-bind=MASK - cn-0164, task 144 24 [53162]: mask |--------------------||||----B---------------|  set
cpu-bind=MASK - cn-0164, task 145 25 [53163]: mask |--------------------||||-----B--------------|  set
cpu-bind=MASK - cn-0164, task 146 26 [53164]: mask |--------------------||||------B-------------|  set
cpu-bind=MASK - cn-0162, task 94 14 [258185]: mask |--------------B-----||||--------------------|  set
cpu-bind=MASK - cn-0162, task 95 15 [258186]: mask |---------------B----||||--------------------|  set
cpu-bind=MASK - cn-0162, task 96 16 [258187]: mask |----------------B---||||--------------------|  set
cpu-bind=MASK - cn-0162, task 97 17 [258188]: mask |-----------------B--||||--------------------|  set
cpu-bind=MASK - cn-0162, task 98 18 [258189]: mask |------------------B-||||--------------------|  set
cpu-bind=MASK - cn-0162, task 99 19 [258190]: mask |-------------------B||||--------------------|  set
cpu-bind=MASK - cn-0162, task 100 20 [258191]: mask |--------------------||||B-------------------|  set
cpu-bind=MASK - cn-0162, task 101 21 [258192]: mask |--------------------||||-B------------------|  set
cpu-bind=MASK - cn-0162, task 102 22 [258193]: mask |--------------------||||--B-----------------|  set
cpu-bind=MASK - cn-0162, task 103 23 [258194]: mask |--------------------||||---B----------------|  set
cpu-bind=MASK - cn-0162, task 104 24 [258195]: mask |--------------------||||----B---------------|  set
cpu-bind=MASK - cn-0162, task 105 25 [258196]: mask |--------------------||||-----B--------------|  set
cpu-bind=MASK - cn-0162, task 106 26 [258197]: mask |--------------------||||------B-------------|  set
cpu-bind=MASK - cn-0159, task 54 14 [2573815]: mask |--------------B-----||||--------------------|  set
cpu-bind=MASK - cn-0159, task 55 15 [2573816]: mask |---------------B----||||--------------------|  set
cpu-bind=MASK - cn-0159, task 56 16 [2573817]: mask |----------------B---||||--------------------|  set
cpu-bind=MASK - cn-0159, task 57 17 [2573818]: mask |-----------------B--||||--------------------|  set
cpu-bind=MASK - cn-0159, task 58 18 [2573819]: mask |------------------B-||||--------------------|  set
cpu-bind=MASK - cn-0159, task 59 19 [2573820]: mask |-------------------B||||--------------------|  set
cpu-bind=MASK - cn-0159, task 60 20 [2573821]: mask |--------------------||||B-------------------|  set
cpu-bind=MASK - cn-0159, task 61 21 [2573822]: mask |--------------------||||-B------------------|  set
cpu-bind=MASK - cn-0159, task 62 22 [2573823]: mask |--------------------||||--B-----------------|  set
cpu-bind=MASK - cn-0159, task 63 23 [2573824]: mask |--------------------||||---B----------------|  set
cpu-bind=MASK - cn-0159, task 64 24 [2573825]: mask |--------------------||||----B---------------|  set
cpu-bind=MASK - cn-0159, task 65 25 [2573826]: mask |--------------------||||-----B--------------|  set
cpu-bind=MASK - cn-0159, task 66 26 [2573827]: mask |--------------------||||------B-------------|  set
cpu-bind=MASK - cn-0164, task 147 27 [53165]: mask |--------------------||||-------B------------|  set
cpu-bind=MASK - cn-0164, task 148 28 [53166]: mask |--------------------||||--------B-----------|  set
cpu-bind=MASK - cn-0164, task 149 29 [53167]: mask |--------------------||||---------B----------|  set
cpu-bind=MASK - cn-0164, task 150 30 [53168]: mask |--------------------||||----------B---------|  set
cpu-bind=MASK - cn-0164, task 151 31 [53169]: mask |--------------------||||-----------B--------|  set
cpu-bind=MASK - cn-0164, task 152 32 [53170]: mask |--------------------||||------------B-------|  set
cpu-bind=MASK - cn-0164, task 153 33 [53171]: mask |--------------------||||-------------B------|  set
cpu-bind=MASK - cn-0164, task 154 34 [53172]: mask |--------------------||||--------------B-----|  set
cpu-bind=MASK - cn-0164, task 155 35 [53173]: mask |--------------------||||---------------B----|  set
cpu-bind=MASK - cn-0164, task 156 36 [53174]: mask |--------------------||||----------------B---|  set
cpu-bind=MASK - cn-0164, task 157 37 [53175]: mask |--------------------||||-----------------B--|  set
cpu-bind=MASK - cn-0164, task 158 38 [53176]: mask |--------------------||||------------------B-|  set
cpu-bind=MASK - cn-0164, task 159 39 [53177]: mask |--------------------||||-------------------B|  set
cpu-bind=MASK - cn-0162, task 107 27 [258198]: mask |--------------------||||-------B------------|  set
cpu-bind=MASK - cn-0159, task 67 27 [2573828]: mask |--------------------||||-------B------------|  set
cpu-bind=MASK - cn-0162, task 108 28 [258199]: mask |--------------------||||--------B-----------|  set
cpu-bind=MASK - cn-0159, task 68 28 [2573829]: mask |--------------------||||--------B-----------|  set
cpu-bind=MASK - cn-0162, task 109 29 [258200]: mask |--------------------||||---------B----------|  set
cpu-bind=MASK - cn-0159, task 69 29 [2573830]: mask |--------------------||||---------B----------|  set
cpu-bind=MASK - cn-0162, task 110 30 [258201]: mask |--------------------||||----------B---------|  set
cpu-bind=MASK - cn-0159, task 70 30 [2573831]: mask |--------------------||||----------B---------|  set
cpu-bind=MASK - cn-0162, task 111 31 [258202]: mask |--------------------||||-----------B--------|  set
cpu-bind=MASK - cn-0159, task 71 31 [2573832]: mask |--------------------||||-----------B--------|  set
cpu-bind=MASK - cn-0162, task 112 32 [258203]: mask |--------------------||||------------B-------|  set
cpu-bind=MASK - cn-0159, task 72 32 [2573833]: mask |--------------------||||------------B-------|  set
cpu-bind=MASK - cn-0162, task 113 33 [258204]: mask |--------------------||||-------------B------|  set
cpu-bind=MASK - cn-0159, task 73 33 [2573834]: mask |--------------------||||-------------B------|  set
cpu-bind=MASK - cn-0162, task 114 34 [258205]: mask |--------------------||||--------------B-----|  set
cpu-bind=MASK - cn-0159, task 74 34 [2573835]: mask |--------------------||||--------------B-----|  set
cpu-bind=MASK - cn-0162, task 115 35 [258206]: mask |--------------------||||---------------B----|  set
cpu-bind=MASK - cn-0159, task 75 35 [2573836]: mask |--------------------||||---------------B----|  set
cpu-bind=MASK - cn-0162, task 116 36 [258207]: mask |--------------------||||----------------B---|  set
cpu-bind=MASK - cn-0159, task 76 36 [2573837]: mask |--------------------||||----------------B---|  set
cpu-bind=MASK - cn-0162, task 117 37 [258208]: mask |--------------------||||-----------------B--|  set
cpu-bind=MASK - cn-0159, task 77 37 [2573838]: mask |--------------------||||-----------------B--|  set
cpu-bind=MASK - cn-0162, task 118 38 [258209]: mask |--------------------||||------------------B-|  set
cpu-bind=MASK - cn-0159, task 78 38 [2573839]: mask |--------------------||||------------------B-|  set
cpu-bind=MASK - cn-0162, task 119 39 [258210]: mask |--------------------||||-------------------B|  set
cpu-bind=MASK - cn-0159, task 79 39 [2573840]: mask |--------------------||||-------------------B|  set
cpu-bind=MASK - cn-0071, task  1  1 [2884324]: mask |-B------------------||||--------------------|  set
cpu-bind=MASK - cn-0071, task  2  2 [2884325]: mask |--B-----------------||||--------------------|  set
cpu-bind=MASK - cn-0071, task  3  3 [2884326]: mask |---B----------------||||--------------------|  set
cpu-bind=MASK - cn-0071, task  4  4 [2884327]: mask |----B---------------||||--------------------|  set
cpu-bind=MASK - cn-0071, task  5  5 [2884328]: mask |-----B--------------||||--------------------|  set
cpu-bind=MASK - cn-0071, task  6  6 [2884329]: mask |------B-------------||||--------------------|  set
cpu-bind=MASK - cn-0071, task  7  7 [2884330]: mask |-------B------------||||--------------------|  set
cpu-bind=MASK - cn-0071, task  8  8 [2884331]: mask |--------B-----------||||--------------------|  set
cpu-bind=MASK - cn-0071, task  9  9 [2884332]: mask |---------B----------||||--------------------|  set
cpu-bind=MASK - cn-0071, task 10 10 [2884333]: mask |----------B---------||||--------------------|  set
cpu-bind=MASK - cn-0071, task 11 11 [2884334]: mask |-----------B--------||||--------------------|  set
cpu-bind=MASK - cn-0071, task 12 12 [2884335]: mask |------------B-------||||--------------------|  set
cpu-bind=MASK - cn-0071, task 13 13 [2884336]: mask |-------------B------||||--------------------|  set
cpu-bind=MASK - cn-0071, task 14 14 [2884337]: mask |--------------B-----||||--------------------|  set
cpu-bind=MASK - cn-0071, task 15 15 [2884338]: mask |---------------B----||||--------------------|  set
cpu-bind=MASK - cn-0071, task 16 16 [2884339]: mask |----------------B---||||--------------------|  set
cpu-bind=MASK - cn-0071, task 17 17 [2884340]: mask |-----------------B--||||--------------------|  set
cpu-bind=MASK - cn-0071, task 18 18 [2884341]: mask |------------------B-||||--------------------|  set
cpu-bind=MASK - cn-0071, task 19 19 [2884342]: mask |-------------------B||||--------------------|  set
cpu-bind=MASK - cn-0071, task 20 20 [2884343]: mask |--------------------||||B-------------------|  set
cpu-bind=MASK - cn-0071, task 21 21 [2884344]: mask |--------------------||||-B------------------|  set
cpu-bind=MASK - cn-0071, task 22 22 [2884345]: mask |--------------------||||--B-----------------|  set
cpu-bind=MASK - cn-0071, task 23 23 [2884346]: mask |--------------------||||---B----------------|  set
cpu-bind=MASK - cn-0071, task 24 24 [2884347]: mask |--------------------||||----B---------------|  set
cpu-bind=MASK - cn-0071, task 25 25 [2884348]: mask |--------------------||||-----B--------------|  set
cpu-bind=MASK - cn-0071, task 26 26 [2884349]: mask |--------------------||||------B-------------|  set
cpu-bind=MASK - cn-0071, task 27 27 [2884350]: mask |--------------------||||-------B------------|  set
cpu-bind=MASK - cn-0071, task 28 28 [2884351]: mask |--------------------||||--------B-----------|  set
cpu-bind=MASK - cn-0071, task 29 29 [2884352]: mask |--------------------||||---------B----------|  set
cpu-bind=MASK - cn-0071, task 30 30 [2884353]: mask |--------------------||||----------B---------|  set
cpu-bind=MASK - cn-0071, task 31 31 [2884354]: mask |--------------------||||-----------B--------|  set
cpu-bind=MASK - cn-0071, task 32 32 [2884355]: mask |--------------------||||------------B-------|  set
cpu-bind=MASK - cn-0071, task 33 33 [2884356]: mask |--------------------||||-------------B------|  set
cpu-bind=MASK - cn-0071, task 34 34 [2884357]: mask |--------------------||||--------------B-----|  set
cpu-bind=MASK - cn-0071, task 35 35 [2884358]: mask |--------------------||||---------------B----|  set
cpu-bind=MASK - cn-0071, task 36 36 [2884359]: mask |--------------------||||----------------B---|  set
cpu-bind=MASK - cn-0071, task 37 37 [2884360]: mask |--------------------||||-----------------B--|  set
cpu-bind=MASK - cn-0071, task 38 38 [2884361]: mask |--------------------||||------------------B-|  set
cpu-bind=MASK - cn-0071, task 39 39 [2884362]: mask |--------------------||||-------------------B|  set
[cn-0071:2884331] MCW rank 8 bound to socket 0[core 8[hwt 0]]: [././././././././B/././././././././././.][./././././././././././././././././././.]
[cn-0071:2884331] MCW rank 8 bound to socket 0[core 8[hwt 0]]: [././././././././B/././././././././././.][./././././././././././././././././././.]
[cn-0071:2884332] MCW rank 9 bound to socket 0[core 9[hwt 0]]: [./././././././././B/./././././././././.][./././././././././././././././././././.]
[cn-0071:2884332] MCW rank 9 bound to socket 0[core 9[hwt 0]]: [./././././././././B/./././././././././.][./././././././././././././././././././.]
[cn-0071:2884336] MCW rank 13 bound to socket 0[core 13[hwt 0]]: [./././././././././././././B/./././././.][./././././././././././././././././././.]
[cn-0071:2884336] MCW rank 13 bound to socket 0[core 13[hwt 0]]: [./././././././././././././B/./././././.][./././././././././././././././././././.]
[cn-0071:2884338] MCW rank 15 bound to socket 0[core 15[hwt 0]]: [./././././././././././././././B/./././.][./././././././././././././././././././.]
[cn-0071:2884338] MCW rank 15 bound to socket 0[core 15[hwt 0]]: [./././././././././././././././B/./././.][./././././././././././././././././././.]
[cn-0071:2884342] MCW rank 19 bound to socket 0[core 19[hwt 0]]: [./././././././././././././././././././B][./././././././././././././././././././.]
[cn-0071:2884342] MCW rank 19 bound to socket 0[core 19[hwt 0]]: [./././././././././././././././././././B][./././././././././././././././././././.]
[cn-0071:2884346] MCW rank 23 bound to socket 1[core 23[hwt 0]]: [./././././././././././././././././././.][./././B/./././././././././././././././.]
[cn-0071:2884346] MCW rank 23 bound to socket 1[core 23[hwt 0]]: [./././././././././././././././././././.][./././B/./././././././././././././././.]
[cn-0071:2884355] MCW rank 32 bound to socket 1[core 32[hwt 0]]: [./././././././././././././././././././.][././././././././././././B/././././././.]
[cn-0071:2884355] MCW rank 32 bound to socket 1[core 32[hwt 0]]: [./././././././././././././././././././.][././././././././././././B/././././././.]
[cn-0071:2884356] MCW rank 33 bound to socket 1[core 33[hwt 0]]: [./././././././././././././././././././.][./././././././././././././B/./././././.]
[cn-0071:2884356] MCW rank 33 bound to socket 1[core 33[hwt 0]]: [./././././././././././././././././././.][./././././././././././././B/./././././.]
[cn-0071:2884360] MCW rank 37 bound to socket 1[core 37[hwt 0]]: [./././././././././././././././././././.][./././././././././././././././././B/./.]
[cn-0071:2884360] MCW rank 37 bound to socket 1[core 37[hwt 0]]: [./././././././././././././././././././.][./././././././././././././././././B/./.]
[cn-0071:2884361] MCW rank 38 bound to socket 1[core 38[hwt 0]]: [./././././././././././././././././././.][././././././././././././././././././B/.]
[cn-0071:2884361] MCW rank 38 bound to socket 1[core 38[hwt 0]]: [./././././././././././././././././././.][././././././././././././././././././B/.]
[cn-0071:2884344] MCW rank 21 bound to socket 1[core 21[hwt 0]]: [./././././././././././././././././././.][./B/./././././././././././././././././.]
[cn-0071:2884344] MCW rank 21 bound to socket 1[core 21[hwt 0]]: [./././././././././././././././././././.][./B/./././././././././././././././././.]
[cn-0071:2884345] MCW rank 22 bound to socket 1[core 22[hwt 0]]: [./././././././././././././././././././.][././B/././././././././././././././././.]
[cn-0071:2884345] MCW rank 22 bound to socket 1[core 22[hwt 0]]: [./././././././././././././././././././.][././B/././././././././././././././././.]
[cn-0071:2884350] MCW rank 27 bound to socket 1[core 27[hwt 0]]: [./././././././././././././././././././.][./././././././B/./././././././././././.]
[cn-0071:2884350] MCW rank 27 bound to socket 1[core 27[hwt 0]]: [./././././././././././././././././././.][./././././././B/./././././././././././.]
[cn-0071:2884354] MCW rank 31 bound to socket 1[core 31[hwt 0]]: [./././././././././././././././././././.][./././././././././././B/./././././././.]
[cn-0071:2884354] MCW rank 31 bound to socket 1[core 31[hwt 0]]: [./././././././././././././././././././.][./././././././././././B/./././././././.]
[cn-0071:2884325] MCW rank 2 bound to socket 0[core 2[hwt 0]]: [././B/././././././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884325] MCW rank 2 bound to socket 0[core 2[hwt 0]]: [././B/././././././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884327] MCW rank 4 bound to socket 0[core 4[hwt 0]]: [././././B/././././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884341] MCW rank 18 bound to socket 0[core 18[hwt 0]]: [././././././././././././././././././B/.][./././././././././././././././././././.]
[cn-0071:2884341] MCW rank 18 bound to socket 0[core 18[hwt 0]]: [././././././././././././././././././B/.][./././././././././././././././././././.]
[cn-0071:2884357] MCW rank 34 bound to socket 1[core 34[hwt 0]]: [./././././././././././././././././././.][././././././././././././././B/././././.]
[cn-0071:2884357] MCW rank 34 bound to socket 1[core 34[hwt 0]]: [./././././././././././././././././././.][././././././././././././././B/././././.]
[cn-0071:2884327] MCW rank 4 bound to socket 0[core 4[hwt 0]]: [././././B/././././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884328] MCW rank 5 bound to socket 0[core 5[hwt 0]]: [./././././B/./././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884339] MCW rank 16 bound to socket 0[core 16[hwt 0]]: [././././././././././././././././B/././.][./././././././././././././././././././.]
[cn-0071:2884324] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884326] MCW rank 3 bound to socket 0[core 3[hwt 0]]: [./././B/./././././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884337] MCW rank 14 bound to socket 0[core 14[hwt 0]]: [././././././././././././././B/././././.][./././././././././././././././././././.]
[cn-0071:2884324] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884328] MCW rank 5 bound to socket 0[core 5[hwt 0]]: [./././././B/./././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884330] MCW rank 7 bound to socket 0[core 7[hwt 0]]: [./././././././B/./././././././././././.][./././././././././././././././././././.]
[cn-0071:2884333] MCW rank 10 bound to socket 0[core 10[hwt 0]]: [././././././././././B/././././././././.][./././././././././././././././././././.]
[cn-0071:2884335] MCW rank 12 bound to socket 0[core 12[hwt 0]]: [././././././././././././B/././././././.][./././././././././././././././././././.]
[cn-0071:2884335] MCW rank 12 bound to socket 0[core 12[hwt 0]]: [././././././././././././B/././././././.][./././././././././././././././././././.]
[cn-0071:2884337] MCW rank 14 bound to socket 0[core 14[hwt 0]]: [././././././././././././././B/././././.][./././././././././././././././././././.]
[cn-0071:2884339] MCW rank 16 bound to socket 0[core 16[hwt 0]]: [././././././././././././././././B/././.][./././././././././././././././././././.]
[cn-0071:2884326] MCW rank 3 bound to socket 0[core 3[hwt 0]]: [./././B/./././././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884329] MCW rank 6 bound to socket 0[core 6[hwt 0]]: [././././././B/././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884330] MCW rank 7 bound to socket 0[core 7[hwt 0]]: [./././././././B/./././././././././././.][./././././././././././././././././././.]
[cn-0071:2884333] MCW rank 10 bound to socket 0[core 10[hwt 0]]: [././././././././././B/././././././././.][./././././././././././././././././././.]
[cn-0071:2884349] MCW rank 26 bound to socket 1[core 26[hwt 0]]: [./././././././././././././././././././.][././././././B/././././././././././././.]
[cn-0071:2884329] MCW rank 6 bound to socket 0[core 6[hwt 0]]: [././././././B/././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884334] MCW rank 11 bound to socket 0[core 11[hwt 0]]: [./././././././././././B/./././././././.][./././././././././././././././././././.]
[cn-0071:2884343] MCW rank 20 bound to socket 1[core 20[hwt 0]]: [./././././././././././././././././././.][B/././././././././././././././././././.]
[cn-0071:2884347] MCW rank 24 bound to socket 1[core 24[hwt 0]]: [./././././././././././././././././././.][././././B/././././././././././././././.]
[cn-0071:2884347] MCW rank 24 bound to socket 1[core 24[hwt 0]]: [./././././././././././././././././././.][././././B/././././././././././././././.]
[cn-0071:2884351] MCW rank 28 bound to socket 1[core 28[hwt 0]]: [./././././././././././././././././././.][././././././././B/././././././././././.]
[cn-0071:2884353] MCW rank 30 bound to socket 1[core 30[hwt 0]]: [./././././././././././././././././././.][././././././././././B/././././././././.]
[cn-0071:2884353] MCW rank 30 bound to socket 1[core 30[hwt 0]]: [./././././././././././././././././././.][././././././././././B/././././././././.]
[cn-0071:2884358] MCW rank 35 bound to socket 1[core 35[hwt 0]]: [./././././././././././././././././././.][./././././././././././././././B/./././.]
[cn-0071:2884358] MCW rank 35 bound to socket 1[core 35[hwt 0]]: [./././././././././././././././././././.][./././././././././././././././B/./././.]
[cn-0071:2884359] MCW rank 36 bound to socket 1[core 36[hwt 0]]: [./././././././././././././././././././.][././././././././././././././././B/././.]
[cn-0071:2884359] MCW rank 36 bound to socket 1[core 36[hwt 0]]: [./././././././././././././././././././.][././././././././././././././././B/././.]
[cn-0071:2884362] MCW rank 39 bound to socket 1[core 39[hwt 0]]: [./././././././././././././././././././.][./././././././././././././././././././B]
[cn-0071:2884362] MCW rank 39 bound to socket 1[core 39[hwt 0]]: [./././././././././././././././././././.][./././././././././././././././././././B]
[cn-0071:2884323] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884323] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././././././././././.][./././././././././././././././././././.]
[cn-0071:2884334] MCW rank 11 bound to socket 0[core 11[hwt 0]]: [./././././././././././B/./././././././.][./././././././././././././././././././.]
[cn-0071:2884340] MCW rank 17 bound to socket 0[core 17[hwt 0]]: [./././././././././././././././././B/./.][./././././././././././././././././././.]
[cn-0071:2884340] MCW rank 17 bound to socket 0[core 17[hwt 0]]: [./././././././././././././././././B/./.][./././././././././././././././././././.]
[cn-0071:2884343] MCW rank 20 bound to socket 1[core 20[hwt 0]]: [./././././././././././././././././././.][B/././././././././././././././././././.]
[cn-0071:2884349] MCW rank 26 bound to socket 1[core 26[hwt 0]]: [./././././././././././././././././././.][././././././B/././././././././././././.]
[cn-0071:2884351] MCW rank 28 bound to socket 1[core 28[hwt 0]]: [./././././././././././././././././././.][././././././././B/././././././././././.]
[cn-0071:2884348] MCW rank 25 bound to socket 1[core 25[hwt 0]]: [./././././././././././././././././././.][./././././B/./././././././././././././.]
[cn-0071:2884352] MCW rank 29 bound to socket 1[core 29[hwt 0]]: [./././././././././././././././././././.][./././././././././B/./././././././././.]
[cn-0071:2884348] MCW rank 25 bound to socket 1[core 25[hwt 0]]: [./././././././././././././././././././.][./././././B/./././././././././././././.]
[cn-0071:2884352] MCW rank 29 bound to socket 1[core 29[hwt 0]]: [./././././././././././././././././././.][./././././././././B/./././././././././.]
[cn-0162:258171] MCW rank 80 bound to socket 0[core 0[hwt 0]]: [B/././././././././././././././././././.][./././././././././././././././././././.]
[cn-0162:258171] MCW rank 80 bound to socket 0[core 0[hwt 0]]: [B/././././././././././././././././././.][./././././././././././././././././././.]
[cn-0162:258172] MCW rank 81 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././././././././././.][./././././././././././././././././././.]
[cn-0162:258172] MCW rank 81 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././././././././././.][./././././././././././././././././././.]
[cn-0162:258173] MCW rank 82 bound to socket 0[core 2[hwt 0]]: [././B/././././././././././././././././.][./././././././././././././././././././.]
[cn-0162:258173] MCW rank 82 bound to socket 0[core 2[hwt 0]]: [././B/././././././././././././././././.][./././././././././././././././././././.]
[cn-0162:258174] MCW rank 83 bound to socket 0[core 3[hwt 0]]: [./././B/./././././././././././././././.][./././././././././././././././././././.]
[cn-0162:258174] MCW rank 83 bound to socket 0[core 3[hwt 0]]: [./././B/./././././././././././././././.][./././././././././././././././././././.]
[cn-0162:258175] MCW rank 84 bound to socket 0[core 4[hwt 0]]: [././././B/././././././././././././././.][./././././././././././././././././././.]
[cn-0162:258175] MCW rank 84 bound to socket 0[core 4[hwt 0]]: [././././B/././././././././././././././.][./././././././././././././././././././.]
[cn-0162:258176] MCW rank 85 bound to socket 0[core 5[hwt 0]]: [./././././B/./././././././././././././.][./././././././././././././././././././.]
[cn-0162:258176] MCW rank 85 bound to socket 0[core 5[hwt 0]]: [./././././B/./././././././././././././.][./././././././././././././././././././.]
[cn-0162:258177] MCW rank 86 bound to socket 0[core 6[hwt 0]]: [././././././B/././././././././././././.][./././././././././././././././././././.]
[cn-0162:258177] MCW rank 86 bound to socket 0[core 6[hwt 0]]: [././././././B/././././././././././././.][./././././././././././././././././././.]
[cn-0162:258178] MCW rank 87 bound to socket 0[core 7[hwt 0]]: [./././././././B/./././././././././././.][./././././././././././././././././././.]
